"id" "name" "sex" "age" "height" "weight" "team" "noc" "games" "year" "season" "city" "sport" "event" "medal"
"1" 513 "Mariola Teresa Abrahamczyk (-Fronckowiak)" "F" 21 180 70 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Rowing" "Rowing Women's Coxed Quadruple Sculls" NA
"2" 562 "Pawe Abratkiewicz" "M" 21 183 84 "Poland" "POL" "1992 Winter" 1992 "Winter" "Albertville" "Speed Skating" "Speed Skating Men's 500 metres" NA
"3" 562 "Pawe Abratkiewicz" "M" 21 183 84 "Poland" "POL" "1992 Winter" 1992 "Winter" "Albertville" "Speed Skating" "Speed Skating Men's 1,000 metres" NA
"4" 562 "Pawe Abratkiewicz" "M" 27 183 84 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Speed Skating" "Speed Skating Men's 500 metres" NA
"5" 562 "Pawe Abratkiewicz" "M" 27 183 84 "Poland" "POL" "1998 Winter" 1998 "Winter" "Nagano" "Speed Skating" "Speed Skating Men's 1,000 metres" NA
"6" 562 "Pawe Abratkiewicz" "M" 31 183 84 "Poland" "POL" "2002 Winter" 2002 "Winter" "Salt Lake City" "Speed Skating" "Speed Skating Men's 500 metres" NA
"7" 562 "Pawe Abratkiewicz" "M" 31 183 84 "Poland" "POL" "2002 Winter" 2002 "Winter" "Salt Lake City" "Speed Skating" "Speed Skating Men's 1,000 metres" NA
"8" 745 "Kazimierz Piotr Adach" "M" 23 162 60 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Boxing" "Boxing Men's Lightweight" "Bronze"
"9" 783 "Stefan Adamczak" "M" 31 175 73 "Poland" "POL" "1924 Summer" 1924 "Summer" "Paris" "Athletics" "Athletics Men's Pole Vault" NA
"10" 785 "Dariusz Adamczuk" "M" 22 179 78 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Football" "Football Men's Football" "Silver"
"11" 786 "Adam Eucharyst Adamczyk" "M" 21 173 80 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Judo" "Judo Men's Middleweight" NA
"12" 786 "Adam Eucharyst Adamczyk" "M" 25 173 80 "Poland" "POL" "1976 Summer" 1976 "Summer" "Montreal" "Judo" "Judo Men's Middleweight" NA
"13" 787 "Edward Adamczyk" "M" 26 190 83 "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Athletics" "Athletics Men's Long Jump" NA
"14" 787 "Edward Adamczyk" "M" 26 190 83 "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Athletics" "Athletics Men's Decathlon" NA
"15" 794 "Janusz Andrzej Adamiec" "M" 21 176 74 "Poland" "POL" "1984 Winter" 1984 "Winter" "Sarajevo" "Ice Hockey" "Ice Hockey Men's Ice Hockey" NA
"16" 794 "Janusz Andrzej Adamiec" "M" 25 176 74 "Poland" "POL" "1988 Winter" 1988 "Winter" "Calgary" "Ice Hockey" "Ice Hockey Men's Ice Hockey" NA
"17" 794 "Janusz Andrzej Adamiec" "M" 29 176 74 "Poland" "POL" "1992 Winter" 1992 "Winter" "Albertville" "Ice Hockey" "Ice Hockey Men's Ice Hockey" NA
"18" 795 "Tomasz Adamiec" "M" 26 171 69.5 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Judo" "Judo Men's Half-Lightweight" NA
"19" 795 "Tomasz Adamiec" "M" 30 171 69.5 "Poland" "POL" "2012 Summer" 2012 "Summer" "London" "Judo" "Judo Men's Lightweight" NA
"20" 802 "Tadeusz Ralf Adamowski" "M" 26 177 70 "Poland" "POL" "1928 Winter" 1928 "Winter" "Sankt Moritz" "Ice Hockey" "Ice Hockey Men's Ice Hockey" NA
"21" 848 "Antoni Adamski" "M" 20 179 74 "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Hockey" "Hockey Men's Hockey" NA
"22" 851 "Jerzy Adamski" "M" 23 171 58 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Boxing" "Boxing Men's Featherweight" "Silver"
"23" 852 "Tadeusz Adamski" "M" 29 NA NA "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Hockey" "Hockey Men's Hockey" NA
"24" 860 "Dariusz Adamus" "M" 23 185 94 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Athletics" "Athletics Men's Javelin Throw" NA
"25" 928 "Alfred Ader" "M" 31 166 60 "Poland" "POL" "1924 Summer" 1924 "Summer" "Paris" "Fencing" "Fencing Men's Sabre, Team" NA
"26" 2294 "Spirydion Jan Albaski" "M" 28 176 70 "Poland" "POL" "1936 Summer" 1936 "Summer" "Berlin" "Football" "Football Men's Football" NA
"27" 2357 "Piotr Albiski" "M" 22 188 74 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Swimming" "Swimming Men's 1,500 metres Freestyle" NA
"28" 2357 "Piotr Albiski" "M" 22 188 74 "Poland" "POL" "1992 Summer" 1992 "Summer" "Barcelona" "Swimming" "Swimming Men's 4 x 200 metres Freestyle Relay" NA
"29" 2783 "Edward Alknin" "M" 25 173 71 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Judo" "Judo Men's Lightweight" NA
"30" 3079 "Henryk Alszer" "M" 34 176 76 "Poland" "POL" "1952 Summer" 1952 "Summer" "Helsinki" "Football" "Football Men's Football" NA
"31" 3120 "Bernard Aluchna" "M" 23 180 84 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Swimming" "Swimming Men's 100 metres Freestyle" NA
"32" 3120 "Bernard Aluchna" "M" 23 180 84 "Poland" "POL" "1960 Summer" 1960 "Summer" "Roma" "Swimming" "Swimming Men's 4 x 200 metres Freestyle Relay" NA
"33" 3358 "Krystyna Ambros (-urek)" "F" 19 178 78 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Rowing" "Rowing Women's Coxed Eights" NA
"34" 3372 "Ewa Ambroziak" "F" 25 174 70 "Poland" "POL" "1976 Summer" 1976 "Summer" "Montreal" "Rowing" "Rowing Women's Single Sculls" NA
"35" 3373 "Zdzisaw Stanisaw Ambroziak" "M" 24 201 102 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Volleyball" "Volleyball Men's Volleyball" NA
"36" 3373 "Zdzisaw Stanisaw Ambroziak" "M" 28 201 102 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Volleyball" "Volleyball Men's Volleyball" NA
"37" 3662 "Zygmunt Jzef Anczok" "M" 26 178 77 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Football" "Football Men's Football" "Gold"
"38" 4104 "Maria Andrejczyk" "F" 20 174 77 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Athletics" "Athletics Women's Javelin Throw" NA
"39" 4234 "Zbigniew Andruszkiewicz" "M" 20 190 89 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Rowing" "Rowing Men's Quadruple Sculls" NA
"40" 4241 "Leszek Andrzejczak" "M" 21 176 74 "Poland" "POL" "1980 Summer" 1980 "Summer" "Moskva" "Hockey" "Hockey Men's Hockey" NA
"41" 4242 "Bohdan Andrzejewski" "M" 22 186 72 "Poland" "POL" "1964 Summer" 1964 "Summer" "Tokyo" "Fencing" "Fencing Men's epee, Team" NA
"42" 4242 "Bohdan Andrzejewski" "M" 26 186 72 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Fencing" "Fencing Men's epee, Individual" NA
"43" 4242 "Bohdan Andrzejewski" "M" 26 186 72 "Poland" "POL" "1968 Summer" 1968 "Summer" "Mexico City" "Fencing" "Fencing Men's epee, Team" "Bronze"
"44" 4242 "Bohdan Andrzejewski" "M" 30 186 72 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Fencing" "Fencing Men's epee, Team" NA
"45" 4243 "Robert Sebastian Andrzejuk" "M" 33 179 75 "Poland" "POL" "2008 Summer" 2008 "Summer" "Beijing" "Fencing" "Fencing Men's epee, Team" "Silver"
"46" 4407 "Emilia Ankiewicz" "F" 25 178 64 "Poland" "POL" "2016 Summer" 2016 "Summer" "Rio de Janeiro" "Athletics" "Athletics Women's 400 metres Hurdles" NA
"47" 4491 "Zdzisaw Antczak" "M" 24 188 82 "Poland" "POL" "1972 Summer" 1972 "Summer" "Munich" "Handball" "Handball Men's Handball" NA
"48" 4491 "Zdzisaw Antczak" "M" 28 188 82 "Poland" "POL" "1976 Summer" 1976 "Summer" "Montreal" "Handball" "Handball Men's Handball" "Bronze"
"49" 4531 "Aleksy Antkiewicz" "M" 24 NA NA "Poland" "POL" "1948 Summer" 1948 "Summer" "London" "Boxing" "Boxing Men's Featherweight" "Bronze"
